doc_id	sent_id	text	label
1	1	曼听公园以前是傣王御花园，有1300多年的历史。	1
2	2	上朝了，有事请奏，无事退朝。俺还要赶场子搓麻将呢	2
3	2	嘿，看我，伦敦奥运会只有9天就开幕了哦，亲！	0
4	1	转发了财新网的微博:【内鬼与大鳄姚刚张育军的唏嘘人生】（记者刘彩萍）近日，中国证券监督管理委员会原党委委员、副主席姚刚和原党委委员、主席助理张育军被查。	2
5	1	老妹,老姐我差点就泪奔啊他终于听到呼叫喽	2
6	1	#上市公司那点事儿#【又多了一起诉讼视频广告未付款乐视网被讨推广费101万】海淀法院官网显示，因认为视频广告未支付费用，北京昂然时代广告有限公司将乐视网信息技术股份有限公司诉至法院，要求其支付推广费及违约金共计101万余元。	2
7	4	\\@郝洪军 : 这充分证明 刘翔被&quot;	0
7	10	2，总局领导、教练和刘翔赛前怎么博弈的？	0
8	2	再访故地可能还会有别样的风景别样的感受哦。	1
9	2	只好给个5星了，虽然好像看不太懂，不明觉厉吧	1
10	1	还有肉饼让你选呢，也双井附近，你自定啊，我都行	1
11	1	去过国内很多地方，但故宫的性价比绝对高居榜首！	1
12	1	#彭宇承认撞了南京老太#中国人永远不知道真相	2
13	1	代个户外装备在人民币的背景效果图下住一宅;	0
14	7	这一片应该是古镇外围的田野庄稼地吧。	0
14	8	我拍的差不多了 ，顺着甬道前行没多远，就看到了又一块门牌楼，建筑在一座小石桥上。	0
14	9	这个小石桥，我猜，就是影片《我的团长我的团》最后一集的末尾，在当今时代，年轻人簇拥着远征军的抗日老兵举行祭奠仪式时经过的那座小石桥吧。	0
14	25	彼时（19点半）公交车已经没有了，我坐上一辆等活儿的出租车回到腾冲县城，花了20元。	0
15	5	临近结束的时候，喇嘛们围绕着他们的师傅坐成一圈念经。	0
16	2	\\@one鱼鱼one : me too	0
17	7	成员看到在八里台立交桥下一居民楼附近，一名外国人不知何故，先是脱掉上衣，然后追打出租车，接着打了一位过路人，最后在三名同伴的劝阻中离开。	2
18	5	@雅娴__ 本周日晚21：35 锁定北京卫视！	0
19	1	我家养了两老大的。。。现在不知道该咋办了	2
20	2	\\@tmac周 : 睡觉姐来了  @董路	0
21	1	当时遇到了一个乐队在四方街上面表演，赶脚是在拍电视剧。	0
