doc_id	sent_id	text	label
1	2	别以为政治与你无关，有人送我蒙牛的产品我会以为对方要害我！	2
2	3	//@nokki卡布诺琪: 领悟透了~~[泪] [泪]	2
3	1	回复@沃阁酒店任宁:说定了![心][萌]	1
4	1	下回烧香可叫我，我每月去一次的，阿弥陀佛~	1
5	2	看完了，满满的回忆，很多那个时代的元素	1
6	1	死去，我还以为是西门口那张呢，我跟这张蛮像的。	1
7	2	反正麻小我是绝对不吃的。海鲜吃的多了不差这一口	2
8	1	对了，上次让你给我问的好点的号怎么样了啊？	2
9	3	//@于文婷Tinkle:喔唷[奥特曼]	1
10	3	北京时间24日凌晨，2012年斯德哥尔摩室内田径赛正在进行。	0
11	1	奥运会亚军选手曾经学过Breaking?	0
12	2	当今之世，是一个东南西北中，各有各的口味的时代。	0
12	3	这个时代，也有跟这个时代相匹配的传播条件。	0
13	1	靠太像了啊啊啊  @刘惠璞_河马哥 在看春晚么？	0
14	10	\\@-李BB的不咸- :  @蛋蛋_村北口的二蛋	0
15	2	\\@上海全攻略 :两个娘娘腔，两只小人妖。	0
15	3	@上海全攻略 据说，刘谦和傅琰东将同时亮相2012年CCTV龙年春晚的舞台。	0
16	1	【贾跃亭到底多缺钱：1个月2次质押美国豪宅不惜高利率】媒体调查梳理发现，在6月这一个月时间里，贾跃亭先后做了两笔质押贷款。	2
17	2	（21世纪经济报道）酷派集团子公司被平安银行起诉提前还贷，大股东乐视担保?	2
18	5	先把贾跃亭的股份冻结了，然后在创业板最火的时候复牌，里面的机构都救活了！	2
19	1	转发了东方财富网的微博:【A股创业板估值真相：不但接近纳斯达克还接近历史底部】创业板估值进一步探底，与此同时，同样以新兴产业为主的美国纳斯达克综合指数估值却屡创新高。	1
19	5	原文评论[3]转发理由:今天乐视网停牌100天，对标特斯拉吗？	2
20	1	#小巴说新闻#【鑫根资本吁建百亿乐视困境基金：七大生态设想正确，抛弃可惜】7月27日晚，乐视网公告称，贾跃亭所持股份被全部轮候冻结。	2
21	1	#清辉访谈#【基金公司持仓@乐视网态度存分歧】（@北京商报记者闫瑾王晗）著名经济学家宋清辉表示，基金公司集体下调乐视网估值，无异于给危机重重的乐视网“当头棒喝”，不排除乐视网在复牌后会面临跌停的可能。	2
21	2	“乐视网的问题其实一点也不复杂，目前之所以四面楚歌，从本质上来讲就是因为负债率??	2
22	3	最近我们把贾跃亭当做榜样，贾跃亭跑到美国去计划蜗居！	2
23	1	转发了财经郎眼的微博:贾跃亭黯然离场，成为乐视“年中大戏”的高潮。	2
23	5	锁定今晚21:10分，广东卫视《财经郎眼》，@郎咸平@王福重@王牧笛为您聚焦《贾跃亭是骗子吗？	2
24	1	【乐视在国内被讨债贾跃亭在美或建法乐第未来新总部】21日消息，获得贾跃亭投资的电动汽车公司法乐第未来已聘请中国MAD建筑事务所，帮助该公司在加州北部MareIsland设计未来风格的总部。	2
24	2	对法乐第未来而言，在近期遭遇一系列困难之后，这处总部代表了新的未来。	1
25	2	孙宏斌：不想做乐视董事长他们是小买卖???	2
26	1	故宫啊，从小就知道看到的地方，这次终于双脚踏上了。	1
27	2	因为以前去过丽江了，就感觉镇远一般般了。	2
28	4	该湾湾长沙细，岸上绿树如带，构成三亚海滨风景区美丽动人的风景线。	1
28	7	我们这次去的重庆英姐海鲜店就是其中的一家。	0
29	1	就是大栅栏那里啊，这有个杜莎夫人蜡像馆，我们在门口拍照，没进去，蜡像馆旁边的全聚德就去吃了。	0
30	1	三条线，三段历史，中轴线，中华民国。	0
30	2	东线太平天国，西线煦园。	0
30	3	既可阅览江南园林，又可对民国文化有诸多了解	0
31	1	总统府在明朝初年曾是归德侯府和汉王府。	0
31	2	清朝为江宁织造署、江南总督府、两江总督署。	0
32	1	来动物园的人不是来看动物的，是来看人的！	2
33	1	还是刚开馆的时候去的，记录了成都乃至四川的历史。	0
34	1	双廊，一个遗落在洱海边的世外桃源，去过的人，没有一个不爱她。	1
34	2	背负苍山，面朝洱海，这里的曰子永远风清云淡。	1
35	2	三天满满当当的，除了晚上好像没事儿，谁在任丘啊，约我哇约我哇~~	1
36	3	[good]当然还有荫姐，一直等你回来！	1
37	1	初到成都，被这里的雾霾深深的吓到了[衰]来给成都人民吸霾来了[汗][汗]	2
38	4	[吃惊]现在外面的样子，是要消失的节奏吗？？？	2
39	1	受不了这雾霾这简直伸手不见五指我这两天点也不想出门啊！！	2
40	1	话说，半夜有流星，但是武汉这雾霾这么严重，估计流星从我头顶上划过去也看不见，哎，洗洗睡吧！	2
41	2	如果雾霾是重度污染的话，我将不得不放弃奔跑，也就是说大家就会有高端大气上档次的照片欣赏了！	2
42	1	以后我也办个公司雇佣你这样为公司服务的人。嘿嘿……	2
43	2	那不叫洗脚城呢~那是让人误以为只接待男宾的小店~	2
44	1	你是早班不？快点来啊，我的卡坏了，进不去了	2
45	2	\\@某M_俺俺_踹飞偶家皇桑 : 林丹口型！！！	0
45	3	\\@请首先准备蛋黄酱 : 老娘心中有千万匹草泥马在狂奔！	0
45	5	\\@少年的名字是樱井羊羽 :林丹口型！！！	0
46	1	感觉布达拉宫广场和天安门广场的气场很像啊。	0
47	1	是啊，我发现最近经常有发这个或者说这句话的欲望	2
48	4	\\@lovexcgslove :皇上！	0
49	1	＂等了好久終於等了今天，夢了好久終於把夢實現…	1
50	1	位于西安市中心，钟楼鼓楼遥想相望，声闻于天。	1
51	1	慢慢走着，慢慢看着，它有两个特别的景点就是元阴石和元阳石。	1
52	2	你电话私信给我，今晚组队，我已经叫了三个人了	0
53	4	【男子400自孙杨破奥运纪录 勇夺中国男泳奥运首金】	1
54	2	啷个弄的皮肤？我勒个搜狗就是黑白的，丑死咯	2
55	2	\\@虎扑篮球 :中国女篮  @虎扑CBA 中国女篮奥运会首战66-57击败捷克队！	0
56	2	哎.是啊.早知现在我当初又何必呢？哈哈哈	2
57	1	我看出来了，组织委员太不容易了~方阿姨属于口头	2
58	1	我们在阿里山的游览线路是：阿里山火车站——昭平车站下车，步行姐妹潭，受镇宫，巨木群栈道，阿里山神木，神木车站，乘小火车回到阿里山车站。	0
59	1	漓江--应该是每个读过这篇课文的孩子的梦吧？	1
60	1	回复@漢家之將士A : 万年历上是这么写的。	0
61	2	你又吓我嘛!!我是大学生了你还不是没睡啊!	2
